-41.0517	0.884529	0.237064
-38.6596	0.89872	0.254381
-34.9906	0.882243	0.226143
-6.00064	0.989556	0.31204
1.29525	0.97018	0.265954
5.25549	0.974855	0.578779
7.25477	0.965221	0.68187
7.2586	0.962225	0.679285
5.58391	0.956869	0.630705
2.99032	0.958079	0.680362
-1.23168	0.959185	0.582411
-8.73338	0.920967	0.360904
-17.4759	0.746778	0.188437
-24.5266	0.769747	0.232568
-13.6975	0.558023	0.161955
-4.55435	0.754326	0.215379
-3.61862	0.785325	0.147057
0.229149	0.946285	0.490778
2.21987	0.953491	0.690367
-0.384121	0.959208	0.650857
-1.53059	0.964455	0.703929
1.53411	0.958061	0.759966
3.44099	0.953347	0.769437
4.195	0.949105	0.77394
4.01159	0.950222	0.736332
3.91443	0.951614	0.706566
3.12055	0.960329	0.706321
0.320074	0.962546	0.594957
-5.13031	0.970182	0.46108
-16.7971	0.9811	0.121102
-38.6013	0.950754	0.486317
-45.5091	0.750257	0.455611
-36.2241	0.962002	0.100494
-22.4575	0.841251	0.195013
-8.96261	0.982073	0.17381
-7.66376	0.944162	0.142784
-4.80721	0.942417	0.304582
0.943438	0.966232	0.522889
4.23953	0.967124	0.710478
5.69767	0.965017	0.719447
6.06636	0.96115	0.707758
4.57451	0.961825	0.642637
0.0564758	0.969473	0.402028
-6.53865	0.972962	0.382702
-11.9301	0.98269	0.365704
-16.902	0.962284	0.382471
-18.8593	0.940493	0.366388
-26.2972	0.889306	0.277875
-19.5145	0.927382	0.100033
-13.9651	0.970105	0.459835
-10.0422	0.965083	0.200235
-0.691841	0.969819	0.183415
2.09813	0.968328	0.517811
2.32023	0.968357	0.620204
1.76589	0.971622	0.681485
-0.169142	0.970198	0.642433
-3.38532	0.955996	0.505133
-8.0664	0.938957	0.364965
-15.9494	0.928954	0.169278
-24.5157	0.808462	0.292921
-24.2671	0.790034	0.282229
-31.6279	0.547615	0.133011
-22.4652	0.556384	0.248884
-6.78334	0.683579	0.213971
-0.177929	0.91333	0.154832
2.0532	0.984252	0.197718
-0.253195	0.980836	0.16794
-6.88785	0.945401	0.137132
-4.55161	0.965874	0.431808
-2.0935	0.972449	0.534213
0.566441	0.972671	0.636815
2.90757	0.965609	0.430332
2.56816	0.961679	0.63955
2.01879	0.961257	0.558442
2.45941	0.958068	0.279378
1.3627	0.959003	0.396012
-0.605738	0.955966	0.379781
-2.87863	0.965474	0.421691
-5.44038	0.9663	0.571439
-9.57409	0.966462	0.477217
-10.313	0.965808	0.570542
-12.2816	0.949521	0.433204
-12.4846	0.948782	0.286516
-11.999	0.948678	0.286474
-14.8932	0.936451	0.27361
-18.7305	0.949977	0.229431
-19.091	0.962449	0.410089
-18.9779	0.983044	0.245674
-19.268	0.989359	0.29202
-23.0892	0.985303	0.21691
-30.0767	0.980444	0.272424
-34.1593	0.975608	0.0351884
-38.9139	0.942009	0.247237
-41.6498	0.90637	0.322108
-47.2775	0.672206	0.131804
-45.2795	0.810918	0.582354
-43.3491	0.870796	0.691973
-44.901	0.812223	0.599113
